Title,URL,Description,status,Web URL,Nomor Regulasi
Surat Edaran Bank Indonesia Nomor 15/1/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-1-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/1/DPNP tanggal 15 Januari 2013 tentang Transparansi Informasi Suku Bunga Dasar Kredit,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/1/DPNP
Surat Edaran Bank Indonesia Nomor 14/37/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-37-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 14/37/DPNP tanggal 27 Desember 2012 tentang Kewajiban Penyediaan Modal Minimum sesuai Profil Risiko dan Pemenuhan Capital Equivalency Maintained Assets (CEMA),Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/37/DPNP
Surat Edaran Bank Indonesia Nomor 14/36/DKBU,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-36-dkbu.aspx,Surat Edaran Bank Indonesia Nomor 14/36/DKBU tanggal 21 Desember 2012 perihal Uji Kemampuan dan Kepatutan (Fit and Proper Test) Bank Perkreditan Rakyat,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/36/DKBU
Surat Edaran Bank Indonesia Nomor 14/35/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-35-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 14/35/DPNP tanggal 10 Desember 2012 perihal Laporan Tahunan Bank Umum dan Laporan Tahunan Tertentu yang Disampaikan kepada Bank Indonesia,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/35/DPNP
Surat Edaran Bank Indonesia Nomor 14/33/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-33-dpbs.aspx,Surat Edaran Bank Indonesia No.14/33/DPbS tanggal 27 November 2012 perihal Penerapan Kebijakan Produk Pembiayaan Kepemilikan Rumah dan Pembiayaan Kendaraan Bermotor bagi Bank Umum Syariah dan Unit Usaha Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/33/DPbS
Surat Edaran Bank Indonesia Nomor 14/31/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-31-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 14/31/DPNP tanggal 31 Oktober 2012 perihal Laporan Kantor Pusat Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/31/DPNP
Surat Edaran Bank Indonesia Nomor 14/26/DKBU,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-26-dkbu.aspx,Surat Edaran Bank Indonesia Nomor 14/26/DKBU tentang Pedoman Kebijakan dan Prosedur Perkreditan bagi Bank Perkreditan Rakyat,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/26/DKBU
Surat Edaran Bank Indonesia Nomor 14/25/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-25-dpbs.aspx,Surat Edaran Bank Indonesia Nomor 14/25/DPbS perihal Uji Kemampuan dan Kepatutan (Fit and Proper Test) Bank Syariah dan Unit Usaha Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/25/DPbS
Surat Edaran Bank Indonesia Nomor 14/21/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-21-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 14/21/DPNP tanggal 18 Juli 2012 perihal Perubahan atas Surat Edaran Bank Indonesia Nomor 9/33/DPNP tanggal 18 Desember 2007 perihal Pedoman Penggunaan Metode Standar dalam Perhitungan Kewajiban Penyediaan Modal Minimum Bank Umum dengan Memperhitungkan Risiko Pasar,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/21/DPNP
Surat Edaran Bank Indonesia Nomor 14/20/DPNP/2012,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-20-dpnp-2012.aspx,Surat Edaran Bank Indonesia Nomor 14/20/DPNP/2012 tanggal 27 Juni 2012 tentang Prinsip Kehati-hatian bagi Bank Umum yang Melakukan Penyerahan Sebagian Pelaksanaan Pekerjaan Kepada Pihak Lain,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/20/DPNP/2012
Surat Edaran Bank Indonesia Nomor 14/16/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-16-dpbs.aspx,Surat Edaran Bank Indonesia Nomor 14/16/DPbS tanggal 31 Mei 2012 Perihal Produk Pembiayaan Kepemilikan Emas Bagi Bank Syariah dan Unit Usaha Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/16/DPbS
Surat Edaran Bank Indonesia Nomor 14/13/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-13-dpnp.aspx,Surat Edaran Bank Indonesia No.14/13/DPNP tanggal 9 April 2012 Perihal Pencabutan Surat Edaran Bank Indonesia No.23/15/BPPP tanggal 28 Februari 1991 Perihal Kegiatan Bank Di Pasar Modal,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/13/DPNP
Surat Edaran Bank Indonesia Nomor 14/10/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-10-dpnp.aspx,Surat EdaranBank Indonesia Nomor 14/10/DPNP tanggal 15 Maret 2012 tentang Penerapan Manajemen Risiko pada Bank yang Melakukan Pemberian Kredit Pemilikan Rumah dan Kredit Kendaraan Bermotor,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/10/DPNP
Surat Edaran Bank Indonesia Nomor 14/8/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-8-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 14/8/DPNP tanggal 6 Maret 2012 perihal Perubahan Kedua atas Surat Edaran Bank Indonesia Nomor 8/15/DPNP tanggal 12 Juli 2006 perihal Laporan Berkala Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/8/DPNP
Surat Edaran Bank Indonesia Nomor 14/7/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-14-7-dpbs.aspx,Surat Edaran Bank Indonesia No.14/7/DPbS tanggal 29 Februari 2012 perihal Produk Qardh Beragun Emas bagi Bank Syariah dan Unit Usaha Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,14/7/DPbS
