title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,doc_id
Surat Edaran Bank Indonesia Nomor 10/13/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-13-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/13/DPNP/2008,6 Maret 2008,Documents -- 175.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/175.pdf,ojk--10_13_dpnp-06002008-documents_175_pdf.pdf,2202
Surat Edaran Bank Indonesia Nomor 10/13/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-13-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/13/DPNP/2008,6 Maret 2008,2008 -- juknis_se101308.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/juknis_se101308.pdf,ojk--10_13_dpnp-06002008-2008_juknis_se101308_pdf.pdf,2203
Surat Edaran Bank Indonesia Nomor 10/13/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-13-dpnp.aspx,NO DATA,NO DATA,NO DATA,10/13/DPNP/2008,6 Maret 2008,2008 -- faq_se_101308.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/faq_se_101308.pdf,ojk--10_13_dpnp-06002008-2008_faq_se_101308_pdf.pdf,2204
Surat Edaran Bank Indonesia Nomor 10/3/UKMI,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-3-ukmi.aspx,NO DATA,NO DATA,NO DATA,10/3/UKMI/2008,8 Februari 2008,Documents -- 179.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/179.pdf,ojk--10_3_ukmi-08002008-documents_179_pdf.pdf,2205
Surat Edaran Bank Indonesia Nomor 10/3/UKMI,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-10-3-ukmi.aspx,NO DATA,NO DATA,NO DATA,10/3/UKMI/2008,8 Februari 2008,2008 -- lampiran6_se100308.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2008/lampiran6_se100308.pdf,ojk--10_3_ukmi-08002008-2008_lampiran6_se100308_pdf.pdf,2206
Surat Edaran Bank Indonesia Nomor: 9/38/DPBPR,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-38-dpbpr.aspx,NO DATA,NO DATA,NO DATA,9/38/DPBPR/2007,28 Desember 2007,Documents -- se_093807_1392275729.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/se_093807_1392275729.pdf,ojk--9_38_dpbpr-28002007-documents_se_093807_1392275729_pdf.pdf,2207
Surat Edaran Bank Indonesia Nomor 9/36/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-36-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/36/DPNP/2007,19 Desember 2007,Documents -- 183.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/183.pdf,ojk--9_36_dpnp-19002007-documents_183_pdf.pdf,2208
Surat Edaran Bank Indonesia Nomor 9/33/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-33-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/33/DPNP/2007,18 Desember 2007,Documents -- 184.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/184.pdf,ojk--9_33_dpnp-18002007-documents_184_pdf.pdf,2209
Surat Edaran Bank Indonesia Nomor 9/32/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-32-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/32/DPNP/2007,13 Desember 2007,Documents -- 188.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/188.pdf,ojk--9_32_dpnp-13002007-documents_188_pdf.pdf,2210
Surat Edaran Bank Indonesia Nomor 9/31/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-31-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/31/DPNP/2007,12 Desember 2007,Documents -- 186.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/186.pdf,ojk--9_31_dpnp-12002007-documents_186_pdf.pdf,2211
Surat Edaran Bank Indonesia Nomor 9/30/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-30-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/30/DPNP/2007,12 Desember 2007,Documents -- 187.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/187.pdf,ojk--9_30_dpnp-12002007-documents_187_pdf.pdf,2212
Surat Edaran Bank Indonesia Nomor 9/29/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-29-dpbs.aspx,NO DATA,NO DATA,NO DATA,9/29/DPbS/2007,7 Desember 2007,Documents -- 189.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/189.pdf,ojk--9_29_dpbs-07002007-documents_189_pdf.pdf,2213
Surat Edaran Bank Indonesia Nomor 9/27/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-27-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/27/DPNP/2007,19 November 2007,Documents -- 194.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/194.pdf,ojk--9_27_dpnp-19002007-documents_194_pdf.pdf,2214
Surat Edaran Bank Indonesia Nomor 9/27/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-27-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/27/DPNP/2007,19 November 2007,2007 -- lamp_se_092707.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2007/lamp_se_092707.pdf,ojk--9_27_dpnp-19002007-2007_lamp_se_092707_pdf.pdf,2215
Surat Edaran Bank Indonesia Nomor 9/24/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-24-dpbs.aspx,NO DATA,NO DATA,NO DATA,9/24/DPbS/2007,2 Oktober 2007,Documents -- 196.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/196.pdf,ojk--9_24_dpbs-02002007-documents_196_pdf.pdf,2216
Surat Edaran Bank Indonesia Nomor 9/20/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-20-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/20/DPNP/2007,24 September 2007,Documents -- 197.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/197.pdf,ojk--9_20_dpnp-24002007-documents_197_pdf.pdf,2217
Surat Edaran Bank Indonesia Nomor 9/17/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-17-dpbs.aspx,NO DATA,NO DATA,NO DATA,9/17/DPbS/2007,8 Agustus 2007,Documents -- 200.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/200.pdf,ojk--9_17_dpbs-08002007-documents_200_pdf.pdf,2218
Surat Edaran Bank Indonesia Nomor 9/18/BKr,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-18-bkr.aspx,NO DATA,NO DATA,NO DATA,9/18/BKr/2007,1 Agustus 2007,Documents -- 199.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/199.pdf,ojk--9_18_bkr-01002007-documents_199_pdf.pdf,2219
Surat Edaran Bank Indonesia Nomor 9/18/BKr,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-18-bkr.aspx,NO DATA,NO DATA,NO DATA,9/18/BKr/2007,1 Agustus 2007,2007 -- lamp_se091807.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2007/lamp_se091807.pdf,ojk--9_18_bkr-01002007-2007_lamp_se091807_pdf.pdf,2220
Surat Edaran Bank Indonesia Nomor 9/14/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-14-dpbs.aspx,NO DATA,NO DATA,NO DATA,9/14/DPbS/2007,21 Juni 2007,Documents -- 201.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/201.pdf,ojk--9_14_dpbs-21002007-documents_201_pdf.pdf,2221
Surat Edaran Bank Indonesia Nomor 9/14/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-14-dpbs.aspx,NO DATA,NO DATA,NO DATA,9/14/DPbS/2007,21 Juni 2007,2007 -- lamp_se_091407.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2007/lamp_se_091407.pdf,ojk--9_14_dpbs-21002007-2007_lamp_se_091407_pdf.pdf,2222
Surat Edaran Bank Indonesia Nomor 9/12/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-12-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/12/DPNP/2007,2 Mei 2007,Documents -- 204.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/204.pdf,ojk--9_12_dpnp-02002007-documents_204_pdf.pdf,2223
Surat Edaran Bank Indonesia Nomor 9/12/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-12-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/12/DPNP/2007,2 Mei 2007,2007 -- faq_se_091207.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2007/faq_se_091207.pdf,ojk--9_12_dpnp-02002007-2007_faq_se_091207_pdf.pdf,2224
Surat Edaran Bank Indonesia Nomor 9/11/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-11-dpnp.aspx,NO DATA,NO DATA,NO DATA,9/11/DPNP/2007,30 April 2007,Documents -- 205.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/205.pdf,ojk--9_11_dpnp-30002007-documents_205_pdf.pdf,2225
Surat Edaran Bank Indonesia Nomor 9/2/DPM,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-2-dpm.aspx,NO DATA,NO DATA,NO DATA,9/2/DPM/2007,5 Maret 2007,Documents -- 209.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/209.pdf,ojk--9_2_dpm-05002007-documents_209_pdf.pdf,2226
Surat Edaran Bank Indonesia Nomor 9/2/DPM,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-2-dpm.aspx,NO DATA,NO DATA,NO DATA,9/2/DPM/2007,5 Maret 2007,2007 -- faq_se090207.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2007/faq_se090207.pdf,ojk--9_2_dpm-05002007-2007_faq_se090207_pdf.pdf,2227
Surat Edaran Bank Indonesia Nomor 9/3/DPM,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-3-dpm.aspx,NO DATA,NO DATA,NO DATA,9/3/DPM/2007,5 Maret 2007,Documents -- 208.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/208.pdf,ojk--9_3_dpm-05002007-documents_208_pdf.pdf,2228
Surat Edaran Bank Indonesia Nomor 9/3/DPM,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-3-dpm.aspx,NO DATA,NO DATA,NO DATA,9/3/DPM/2007,5 Maret 2007,2007 -- lampiran_se_090307.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2007/lampiran_se_090307.pdf,ojk--9_3_dpm-05002007-2007_lampiran_se_090307_pdf.pdf,2229
Surat Edaran Bank Indonesia Nomor 9/3/DPM,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-9-3-dpm.aspx,NO DATA,NO DATA,NO DATA,9/3/DPM/2007,5 Maret 2007,2007 -- faq_se090307.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2007/faq_se090307.pdf,ojk--9_3_dpm-05002007-2007_faq_se090307_pdf.pdf,2230
Surat Edaran Bank Indonesia Nomor 8/28/DPBPR,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-8-28-dpbpr.aspx,NO DATA,NO DATA,NO DATA,8/28/DPBPR/2006,12 Desember 2006,Documents -- 216.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/216.pdf,ojk--8_28_dpbpr-12002006-documents_216_pdf.pdf,2231
Surat Edaran Bank Indonesia Nomor 8/29/DPBPR,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-8-29-dpbpr.aspx,NO DATA,NO DATA,NO DATA,8/29/DPBPR/2006,12 Desember 2006,Documents -- 215.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/215.pdf,ojk--8_29_dpbpr-12002006-documents_215_pdf.pdf,2232
Surat Edaran Bank Indonesia Nomor 8/30/DPBPR,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-8-30-dpbpr.aspx,NO DATA,NO DATA,NO DATA,8/30/DPBPR/2006,12 Desember 2006,Documents -- 214.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/214.pdf,ojk--8_30_dpbpr-12002006-documents_214_pdf.pdf,2233
Surat Edaran Bank Indonesia Nomor 8/31/DPBPR,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-8-31-dpbpr.aspx,NO DATA,NO DATA,NO DATA,8/31/DPBPR/2006,12 Desember 2006,Documents -- 213.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/213.pdf,ojk--8_31_dpbpr-12002006-documents_213_pdf.pdf,2234
