title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url
Surat Edaran Bank Indonesia Nomor 15/28/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-28-dpnp.aspx,,,,15/28/DPNP,31 Jul 2013,Documents -- 13.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/13.pdf
Surat Edaran Bank Indonesia Nomor 15/28/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-28-dpnp.aspx,,,,15/28/DPNP,31 Jul 2013,2013 -- lampiran_se_1528_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lampiran_se_1528_13.pdf
Surat Edaran Bank Indonesia Nomor 15/28/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-28-dpnp.aspx,,,,15/28/DPNP,31 Jul 2013,2013 -- lamp2_se_1528_13.xls,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp2_se_1528_13.xls
Surat Edaran Bank Indonesia Nomor 15/28/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-28-dpnp.aspx,,,,15/28/DPNP,31 Jul 2013,2013 -- faq_se_1528_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1528_13.pdf
Surat Edaran Bank Indonesia Nomor 15/29/DKBU,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-29-dkbu.aspx,,,,15/29/DKBU,31 Jul 2013,Documents -- 12.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/12.pdf
Surat Edaran Bank Indonesia Nomor 15/29/DKBU,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-29-dkbu.aspx,,,,15/29/DKBU,31 Jul 2013,2013 -- faq_se_1529_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1529_13.pdf
Surat Edaran Bank Indonesia Nomor 15/27/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-27-dpnp.aspx,,,,15/27/DPNP,19 Jul 2013,Documents -- 14.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/14.pdf
Surat Edaran Bank Indonesia Nomor 15/27/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-27-dpnp.aspx,,,,15/27/DPNP,19 Jul 2013,2013 -- faq_se_1527_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1527_13.pdf
Surat Edaran Bank Indonesia Nomor 15/26/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-26-dpbs.aspx,,,,15/26/DPbS,10 Jul 2013,Documents -- 15.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/15.pdf
Surat Edaran Bank Indonesia Nomor 15/26/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-26-dpbs.aspx,,,,15/26/DPbS,10 Jul 2013,2013 -- pedoman_se_1526_13.zip,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/pedoman_se_1526_13.zip
Surat Edaran Bank Indonesia Nomor 15/26/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-26-dpbs.aspx,,,,15/26/DPbS,10 Jul 2013,2013 -- faq_se_1526_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1526_13.pdf
Surat Edaran Bank Indonesia Nomor 15/25/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-25-dpnp.aspx,,,,15/25/DPNP,9 Jul 2013,Documents -- 16.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/16.pdf
Surat Edaran Bank Indonesia Nomor 15/25/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-25-dpnp.aspx,,,,15/25/DPNP,9 Jul 2013,2013 -- faq_se_1525_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1525_13.pdf
Surat Edaran Bank Indonesia Nomor 15/22/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-22-dpbs.aspx,,,,15/22/DPbS,27 Jun 2013,Documents -- 17.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/17.pdf
Surat Edaran Bank Indonesia Nomor 15/22/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-22-dpbs.aspx,,,,15/22/DPbS,27 Jun 2013,2013 -- faq_se_152213.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_152213.pdf
Surat Edaran Bank Indonesia Nomor 15/21/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-21-dpnp.aspx,,,,15/21/DPNP,14 Jun 2013,Documents -- 18.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/18.pdf
Surat Edaran Bank Indonesia Nomor 15/21/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-21-dpnp.aspx,,,,15/21/DPNP,14 Jun 2013,2013 -- lamp_se_1521_13.zip,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp_se_1521_13.zip
Surat Edaran Bank Indonesia Nomor 15/21/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-21-dpnp.aspx,,,,15/21/DPNP,14 Jun 2013,2013 -- faq_se_1521_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1521_13.pdf
Surat Edaran Bank Indonesia Nomor 15/20/DKBU,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-20-dkbu.aspx,,,,15/20/DKBU,22 Mei 2013,Documents -- 19.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/19.pdf
Surat Edaran Bank Indonesia Nomor 15/20/DKBU,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-20-dkbu.aspx,,,,15/20/DKBU,22 Mei 2013,2013 -- lamp_se_1520_13.zip,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp_se_1520_13.zip
Surat Edaran Bank Indonesia Nomor 15/15/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-15-dpnp.aspx,,,,15/15/DPNP,29 Apr 2013,Documents -- 22.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/22.pdf
Surat Edaran Bank Indonesia Nomor 15/15/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-15-dpnp.aspx,,,,15/15/DPNP,29 Apr 2013,2013 -- lamp1_se151513.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp1_se151513.pdf
Surat Edaran Bank Indonesia Nomor 15/15/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-15-dpnp.aspx,,,,15/15/DPNP,29 Apr 2013,2013 -- lamp2_se151513.doc,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp2_se151513.doc
Surat Edaran Bank Indonesia Nomor 15/15/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-15-dpnp.aspx,,,,15/15/DPNP,29 Apr 2013,2013 -- lamp3_se151513.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp3_se151513.pdf
Surat Edaran Bank Indonesia Nomor 15/15/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-15-dpnp.aspx,,,,15/15/DPNP,29 Apr 2013,2013 -- lamp4_se151513.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp4_se151513.pdf
Surat Edaran Bank Indonesia Nomor 15/15/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-15-dpnp.aspx,,,,15/15/DPNP,29 Apr 2013,2013 -- faq_1515_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_1515_13.pdf
Surat Edaran Bank Indonesia Nomor 15/14/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-14-dpnp.aspx,,,,15/14/DPNP,24 Apr 2013,Documents -- 23.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/23.pdf
Surat Edaran Bank Indonesia Nomor 15/14/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-14-dpnp.aspx,,,,15/14/DPNP,24 Apr 2013,2013 -- lamp_se_1514_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp_se_1514_13.pdf
Surat Edaran Bank Indonesia Nomor 15/14/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-14-dpnp.aspx,,,,15/14/DPNP,24 Apr 2013,2013 -- faq_se_1514_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_1514_13.pdf
Surat Edaran Bank Indonesia Nomor 15/11/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-11-dpnp.aspx,,,,15/11/DPNP,10 Apr 2013,Documents -- 24.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/24.pdf
Surat Edaran Bank Indonesia Nomor 15/11/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-11-dpnp.aspx,,,,15/11/DPNP,10 Apr 2013,2013 -- lamp_se_151113.zip,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp_se_151113.zip
Surat Edaran Bank Indonesia Nomor 15/11/DPNP,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-11-dpnp.aspx,,,,15/11/DPNP,10 Apr 2013,2013 -- faq_se_151113.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_151113.pdf
